UC,Cjto,Alimentador,SE,Interrupcao,Tipo,Motivo_expurgo,Data_inicio,Hora_inicio,Data_fim,Horario_fim,Fato Gerador,Nivel Tensao
1388231,12860,mar.-51,MAR,2151524,Interrupção não programada,,3/17/2014,6:10:00,3/17/2014,9:49:00,Própria do Sistema,34500
30244650,12803,ACA51,ACA,2151821,Interrupção não programada,,3/17/2014,12:50:00,3/17/2014,16:37:00,Meio Ambiente,34500
11730846,12803,ACA51,ACA,2151821,Interrupção não programada,,3/17/2014,12:50:00,3/17/2014,16:37:00,Meio Ambiente,34500
11736623,12803,ACA51,ACA,2151821,Interrupção não programada,,3/17/2014,12:50:00,3/17/2014,16:37:00,Meio Ambiente,34500
11311649,12878,INO51,INO,2151822,Interrupção não programada,,3/17/2014,12:52:00,3/17/2014,15:42:00,Meio Ambiente,34500
2548810,12878,INO51,INO,2151822,Interrupção não programada,,3/17/2014,12:52:00,3/17/2014,15:42:00,Meio Ambiente,34500
31418279,12854,IGU52,IGU,2151963,Interrupção não programada,,3/17/2014,15:18:00,3/17/2014,17:02:00,Meio Ambiente,34500
31440932,12854,IGU52,IGU,2151963,Interrupção não programada,,3/17/2014,15:18:00,3/17/2014,17:02:00,Meio Ambiente,34500
32156987,12831,COR52,COR,2152620,Interrupção não programada,,3/18/2014,11:33:00,3/18/2014,23:10:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2153060,Interrupção não programada,,3/19/2014,8:01:00,3/19/2014,9:08:00,Meio Ambiente,34500
12056146,12807,CAM52,CAM,2153083,Interrupção não programada,,3/19/2014,8:20:00,3/19/2014,10:28:00,Terceiros,34500
2285339,15632,BVI02,BVI,2153135,Interrupção não programada,,3/19/2014,9:05:00,3/19/2014,11:03:00,Meio Ambiente,13800
2285321,15632,BVI02,BVI,2153135,Interrupção não programada,,3/19/2014,9:05:00,3/19/2014,11:03:00,Meio Ambiente,13800
15294714,12878,INO01,INO,2153654,Interrupção não programada,,3/19/2014,16:18:00,3/19/2014,21:53:00,Própria do Sistema,13800
2547767,12878,INO01,INO,2153654,Interrupção não programada,,3/19/2014,16:18:00,3/19/2014,21:53:00,Própria do Sistema,13800
9823883,12878,INO01,INO,2153654,Interrupção não programada,,3/19/2014,16:18:00,3/19/2014,21:53:00,Própria do Sistema,13800
2548925,12878,INO01,INO,2153654,Interrupção não programada,,3/19/2014,16:18:00,3/19/2014,21:53:00,Própria do Sistema,13800
11736623,12803,ACA51,ACA,2153883,Interrupção não programada,,3/20/2014,3:53:00,3/20/2014,5:49:00,Própria do Sistema,34500
11730846,12803,ACA51,ACA,2153883,Interrupção não programada,,3/20/2014,3:53:00,3/20/2014,5:49:00,Própria do Sistema,34500
30244650,12803,ACA51,ACA,2153883,Interrupção não programada,,3/20/2014,3:53:00,3/20/2014,5:49:00,Própria do Sistema,34500
11729830,15627,ACA51,ACA,2153883,Interrupção não programada,,3/20/2014,3:53:00,3/20/2014,6:38:00,Própria do Sistema,34500
11729830,15627,ACA51,ACA,2153883,Interrupção não programada,,3/20/2014,8:23:00,3/20/2014,8:24:00,Própria do Sistema,34500
13320611,12860,mar.-51,MAR,2153915,Interrupção não programada,,3/20/2014,6:26:00,3/20/2014,12:10:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2153927,Interrupção não programada,,3/20/2014,5:54:00,3/21/2014,12:24:00,Meio Ambiente,34500
10099841,15632,NIO51,NIO,2153951,Interrupção não programada,,3/19/2014,18:20:00,3/21/2014,11:45:00,Meio Ambiente,34500
10099859,15632,NIO51,NIO,2153951,Interrupção não programada,,3/19/2014,18:20:00,3/21/2014,11:45:00,Meio Ambiente,34500
30244650,12803,ACA51,ACA,2154574,Interrupção não programada,,3/20/2014,14:43:00,3/20/2014,15:12:00,Própria do Sistema,34500
11730846,12803,ACA51,ACA,2154574,Interrupção não programada,,3/20/2014,14:43:00,3/20/2014,15:12:00,Própria do Sistema,34500
11736623,12803,ACA51,ACA,2154574,Interrupção não programada,,3/20/2014,14:43:00,3/20/2014,15:12:00,Própria do Sistema,34500
11311649,12878,INO51,INO,2154704,Interrupção não programada,,3/20/2014,15:31:00,3/20/2014,17:40:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2155786,Interrupção não programada,,3/21/2014,19:07:00,3/21/2014,19:26:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2155786,Interrupção não programada,,3/21/2014,19:07:00,3/21/2014,19:26:00,Meio Ambiente,34500
9809970,12803,BON51,BON,2155916,Interrupção não programada,,3/22/2014,0:49:00,3/22/2014,16:40:00,Meio Ambiente,34500
9607650,12803,BON51,BON,2155916,Interrupção não programada,,3/22/2014,0:49:00,3/22/2014,16:40:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2156167,Interrupção não programada,,3/22/2014,7:45:00,3/22/2014,15:28:00,Meio Ambiente,34500
32156987,12831,COR52,COR,2156341,Interrupção não programada,6,3/22/2014,8:48:00,3/22/2014,8:52:00,Meio Ambiente,34500
12169528,12881,PMU02,PMU,2156374,Interrupção não programada,,3/22/2014,9:16:00,3/23/2014,8:30:00,Meio Ambiente,13800
30093651,12807,CAM52,CAM,2156890,Interrupção não programada,,3/22/2014,16:10:00,3/22/2014,21:33:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2156940,Interrupção não programada,,3/22/2014,16:38:00,3/22/2014,17:47:00,Própria do Sistema,34500
30841020,12834,COX51,COX,2156940,Interrupção não programada,,3/22/2014,16:38:00,3/22/2014,17:47:00,Própria do Sistema,34500
30093651,12807,CAM52,CAM,2158728,Interrupção não programada,,3/25/2014,17:17:00,3/26/2014,10:27:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2160121,Interrupção não programada,,3/28/2014,7:29:00,3/28/2014,10:26:00,Não Classificada,34500
30093651,12807,CAM52,CAM,2160375,Interrupção não programada,,3/28/2014,13:47:00,3/28/2014,21:20:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2161310,Interrupção não programada,,3/29/2014,18:48:00,3/29/2014,22:22:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2161533,Interrupção não programada,,3/30/2014,10:32:00,3/30/2014,13:53:00,Meio Ambiente,34500
12169528,12881,PMU02,PMU,2161585,Interrupção não programada,,3/30/2014,11:16:00,3/30/2014,11:34:00,Meio Ambiente,13800
30841020,12834,COX51,COX,2161653,Interrupção não programada,,3/30/2014,14:58:00,3/31/2014,10:09:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2161653,Interrupção não programada,,3/30/2014,14:58:00,3/31/2014,10:09:00,Meio Ambiente,34500
13320611,12860,mar.-51,MAR,2162590,Interrupção não programada,,3/31/2014,22:05:00,3/31/2014,23:28:00,Meio Ambiente,34500
1388231,12860,mar.-51,MAR,2162590,Interrupção não programada,,3/31/2014,22:05:00,3/31/2014,23:28:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2162779,Interrupção não programada,,3/5/2014,17:16:00,3/6/2014,11:20:00,Própria do Sistema,34500
30841011,12834,COX51,COX,2162779,Interrupção não programada,,3/5/2014,17:16:00,3/6/2014,11:20:00,Própria do Sistema,34500
10108751,15627,ACA51,ACA,2166326,Interrupção não programada,,3/13/2014,19:31:00,3/13/2014,19:33:00,Meio Ambiente,34500
15789802,12807,CAM52,CAM,2167104,Interrupção não programada,,3/20/2014,8:47:00,3/20/2014,8:52:00,Meio Ambiente,34500
12056146,12807,CAM52,CAM,2167104,Interrupção não programada,,3/20/2014,8:47:00,3/20/2014,8:52:00,Meio Ambiente,34500
13992121,12807,CAM52,CAM,2167104,Interrupção não programada,,3/20/2014,8:47:00,3/20/2014,8:52:00,Meio Ambiente,34500
15109348,12807,CAM52,CAM,2167104,Interrupção não programada,,3/20/2014,8:47:00,3/20/2014,8:52:00,Meio Ambiente,34500
2840456,12827,CSU52,CSU,2169259,Interrupção não programada,,3/27/2014,8:20:00,3/27/2014,15:18:00,Própria do Sistema,34500
30093651,12807,CAM52,CAM,2172385,Interrupção não programada,,3/20/2014,8:09:00,3/20/2014,11:10:00,Meio Ambiente,34500
2547767,12878,INO01,INO,2172884,Interrupção não programada,6,3/7/2014,16:34:00,3/7/2014,19:13:00,Meio Ambiente,13800
9823883,12878,INO01,INO,2172884,Interrupção não programada,6,3/7/2014,16:34:00,3/7/2014,19:13:00,Meio Ambiente,13800
15294714,12878,INO01,INO,2172884,Interrupção não programada,6,3/7/2014,16:34:00,3/7/2014,19:13:00,Meio Ambiente,13800
2548925,12878,INO01,INO,2172884,Interrupção não programada,6,3/7/2014,16:34:00,3/7/2014,19:13:00,Meio Ambiente,13800
2548810,12878,INO51,INO,2172884,Interrupção não programada,6,3/7/2014,16:34:00,3/7/2014,19:13:00,Meio Ambiente,34500
11311649,12878,INO51,INO,2172884,Interrupção não programada,6,3/7/2014,16:34:00,3/7/2014,19:13:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2181700,Interrupção não programada,,4/27/2014,14:50:00,4/27/2014,15:47:00,Própria do Sistema,34500
1887297,12875,NAN51,NAN,2151708,Interrupção programada,,4/2/2014,11:05:00,4/2/2014,16:48:00,Manutenção,34500
1887297,12875,NAN51,NAN,2163402,Interrupção programada,,4/17/2014,11:02:00,4/17/2014,15:30:00,Manutenção,34500
11311649,12878,INO51,INO,2164243,Interrupção não programada,,4/3/2014,18:57:00,4/7/2014,19:10:00,Terceiros,34500
11729830,15627,ACA51,ACA,2164301,Interrupção não programada,,4/3/2014,20:09:00,4/4/2014,8:53:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2165642,Interrupção não programada,,4/7/2014,7:10:00,4/7/2014,9:40:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2165642,Interrupção não programada,,4/7/2014,7:10:00,4/7/2014,9:40:00,Meio Ambiente,34500
2840456,12827,CSU52,CSU,2166374,Interrupção não programada,,4/8/2014,9:17:00,4/8/2014,13:55:00,Própria do Sistema,34500
10099841,15632,NIO51,NIO,2166696,Interrupção não programada,,4/8/2014,16:35:00,4/8/2014,16:43:00,Não Classificada,13800
10099859,15632,NIO51,NIO,2166696,Interrupção não programada,,4/8/2014,16:35:00,4/8/2014,16:43:00,Não Classificada,13800
2840456,12827,CSU52,CSU,2166941,Interrupção não programada,,4/9/2014,7:52:00,4/9/2014,7:55:00,Não Classificada,34500
2840456,12827,CSU52,CSU,2166941,Interrupção não programada,,4/9/2014,11:38:00,4/9/2014,11:42:00,Não Classificada,34500
15319776,12850,FIT53,FIT,2167895,Interrupção não programada,,4/9/2014,18:14:00,4/9/2014,19:08:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2168154,Interrupção não programada,,4/9/2014,20:56:00,4/10/2014,7:32:00,Meio Ambiente,34500
9809970,12803,BON51,BON,2168260,Interrupção não programada,,4/10/2014,1:08:00,4/10/2014,7:40:00,Meio Ambiente,34500
9607650,12803,BON51,BON,2168260,Interrupção não programada,,4/10/2014,1:08:00,4/10/2014,7:40:00,Meio Ambiente,34500
12169528,12881,PMU02,PMU,2168499,Interrupção não programada,,4/10/2014,7:37:00,4/10/2014,8:27:00,Meio Ambiente,13800
2840456,12827,CSU52,CSU,2168585,Interrupção não programada,,4/10/2014,8:23:00,4/10/2014,13:38:00,Própria do Sistema,34500
10108751,15627,ACA51,ACA,2168968,Interrupção não programada,,4/10/2014,14:45:00,4/11/2014,18:17:00,Terceiros,34500
1887297,12875,NAN51,NAN,2169309,Interrupção não programada,,4/10/2014,17:22:00,4/10/2014,22:40:00,Própria do Sistema,34500
1887297,12875,NAN51,NAN,2169309,Interrupção não programada,,4/10/2014,23:51:00,4/11/2014,1:45:00,Própria do Sistema,34500
11730846,12803,ACA51,ACA,2170174,Interrupção não programada,,4/12/2014,5:38:00,4/12/2014,9:02:00,Meio Ambiente,34500
30244650,12803,ACA51,ACA,2170174,Interrupção não programada,,4/12/2014,5:38:00,4/12/2014,9:02:00,Meio Ambiente,34500
11736623,12803,ACA51,ACA,2170174,Interrupção não programada,,4/12/2014,5:38:00,4/12/2014,9:02:00,Meio Ambiente,34500
30093651,12807,CAM52,CAM,2170177,Interrupção não programada,,4/12/2014,5:47:00,4/12/2014,15:07:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2170222,Interrupção não programada,,4/12/2014,7:07:00,4/12/2014,14:18:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2170222,Interrupção não programada,,4/12/2014,7:07:00,4/12/2014,14:18:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2170548,Interrupção não programada,,4/12/2014,12:08:00,4/12/2014,14:12:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2170548,Interrupção não programada,,4/12/2014,16:31:00,4/12/2014,16:39:00,Meio Ambiente,34500
13992121,12807,CAM52,CAM,2170933,Interrupção não programada,,4/12/2014,17:19:00,4/12/2014,19:20:00,Meio Ambiente,34500
15789802,12807,CAM52,CAM,2170933,Interrupção não programada,,4/12/2014,17:19:00,4/12/2014,19:20:00,Meio Ambiente,34500
15789802,12807,CAM52,CAM,2171155,Interrupção não programada,,4/12/2014,20:26:00,4/13/2014,10:25:00,Meio Ambiente,34500
13992121,12807,CAM52,CAM,2171155,Interrupção não programada,,4/12/2014,20:26:00,4/13/2014,10:25:00,Meio Ambiente,34500
2285339,15632,BVI02,BVI,2171193,Interrupção não programada,,4/12/2014,21:23:00,4/12/2014,22:11:00,Meio Ambiente,13800
2285321,15632,BVI02,BVI,2171193,Interrupção não programada,,4/12/2014,21:23:00,4/12/2014,22:11:00,Meio Ambiente,13800
12169528,12881,PMU02,PMU,2171612,Interrupção não programada,,4/13/2014,12:33:00,4/13/2014,14:32:00,Terceiros,13800
12169528,12881,PMU02,PMU,2171782,Interrupção não programada,,4/13/2014,18:09:00,4/13/2014,19:31:00,Terceiros,13800
30841011,12834,COX51,COX,2172147,Interrupção não programada,,4/14/2014,10:56:00,4/15/2014,11:00:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2172147,Interrupção não programada,,4/14/2014,10:56:00,4/15/2014,11:00:00,Meio Ambiente,34500
30244650,12803,ACA51,ACA,2173398,Interrupção não programada,,4/16/2014,9:50:00,4/16/2014,11:40:00,Meio Ambiente,34500
11730846,12803,ACA51,ACA,2173398,Interrupção não programada,,4/16/2014,9:50:00,4/16/2014,11:40:00,Meio Ambiente,34500
11736623,12803,ACA51,ACA,2173398,Interrupção não programada,,4/16/2014,9:50:00,4/16/2014,11:40:00,Meio Ambiente,34500
30244650,12803,ACA51,ACA,2173398,Interrupção não programada,,4/16/2014,16:39:00,4/16/2014,16:42:00,Meio Ambiente,34500
11730846,12803,ACA51,ACA,2173398,Interrupção não programada,,4/16/2014,16:39:00,4/16/2014,16:42:00,Meio Ambiente,34500
11736623,12803,ACA51,ACA,2173398,Interrupção não programada,,4/16/2014,16:39:00,4/16/2014,16:42:00,Meio Ambiente,34500
2702525,12854,IGU52,IGU,2174911,Interrupção não programada,,4/18/2014,15:40:00,4/18/2014,17:52:00,Meio Ambiente,34500
2702525,12854,IGU52,IGU,2175353,Interrupção não programada,,4/19/2014,12:13:00,4/19/2014,15:00:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2175526,Interrupção não programada,,4/19/2014,15:56:00,4/19/2014,22:09:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2175560,Interrupção não programada,,4/19/2014,16:03:00,4/19/2014,17:00:00,Meio Ambiente,34500
11736623,12803,ACA51,ACA,2175629,Interrupção não programada,,4/19/2014,16:50:00,4/20/2014,9:12:00,Meio Ambiente,34500
30244650,12803,ACA51,ACA,2175629,Interrupção não programada,,4/19/2014,16:50:00,4/20/2014,9:12:00,Meio Ambiente,34500
11730846,12803,ACA51,ACA,2175629,Interrupção não programada,,4/19/2014,16:50:00,4/20/2014,9:12:00,Meio Ambiente,34500
11311649,12878,INO51,INO,2175631,Interrupção não programada,,4/19/2014,16:46:00,4/19/2014,18:21:00,Meio Ambiente,34500
2548810,12878,INO51,INO,2175631,Interrupção não programada,,4/19/2014,16:46:00,4/19/2014,20:52:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2176245,Interrupção não programada,,4/20/2014,9:18:00,4/20/2014,11:57:00,Meio Ambiente,34500
2840456,12827,CSU52,CSU,2177728,Interrupção não programada,6,4/22/2014,7:49:00,4/22/2014,11:50:00,Meio Ambiente,34500
2840456,12827,CSU52,CSU,2178677,Interrupção não programada,6,4/22/2014,16:05:00,4/23/2014,12:45:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2178684,Interrupção não programada,,4/22/2014,16:11:00,4/23/2014,17:41:00,Meio Ambiente,34500
